Area_Name,Year,Group_Name,Sub_Group_Name,K_A_Cases_Reported,K_A_Female_10_18_Years,K_A_Female_18_30_Years,K_A_Female_30_50_Years,K_A_Female_Above_50_Years,K_A_Female_Total,K_A_Female_Upto_10_Years,K_A_Grand_Total,K_A_Male_10_18_Years,K_A_Male_18_30_Years,K_A_Male_30_50_Years,K_A_Male_Above_50_Years,K_A_Male_Total,K_A_Male_Upto_10_Years
West Bengal,2007,Kidnap - For Marriage,05. For Marriage,661,36,607,18,0,661,0,661,0,0,0,0,0,0
Andhra Pradesh,2008,Kidnap - For Marriage,05. For Marriage,817,262,449,29,0,742,2,802,0,57,3,0,60,0
Arunachal Pradesh,2008,Kidnap - For Marriage,05. For Marriage,24,2,22,0,0,24,0,24,0,0,0,0,0,0
Assam,2008,Kidnap - For Marriage,05. For Marriage,1369,0,746,623,0,1369,0,1369,0,0,0,0,0,0
Bihar,2008,Kidnap - For Marriage,05. For Marriage,1551,323,1192,13,0,1529,1,1551,0,22,0,0,22,0
Chandigarh,2008,Kidnap - For Marriage,05. For Marriage,35,29,6,0,0,35,0,35,0,0,0,0,0,0
Chhattisgarh,2008,Kidnap - For Marriage,05. For Marriage,190,56,78,47,0,184,3,190,3,3,0,0,6,0
Dadra & Nagar Haveli,2008,Kidnap - For Marriage,05. For Marriage,10,9,1,0,0,10,0,10,0,0,0,0,0,0
Delhi,2008,Kidnap - For Marriage,05. For Marriage,239,165,74,0,0,239,0,240,0,1,0,0,1,0
Goa,2008,Kidnap - For Marriage,05. For Marriage,11,8,4,0,0,12,0,12,0,0,0,0,0,0
Gujarat,2008,Kidnap - For Marriage,05. For Marriage,828,356,400,49,0,805,0,833,0,20,8,0,28,0
Haryana,2008,Kidnap - For Marriage,05. For Marriage,419,11,375,27,0,413,0,421,8,0,0,0,8,0
Himachal Pradesh,2008,Kidnap - For Marriage,05. For Marriage,124,76,45,2,0,123,0,124,0,1,0,0,1,0
Jammu & Kashmir,2008,Kidnap - For Marriage,05. For Marriage,279,0,240,39,0,279,0,279,0,0,0,0,0,0
Jharkhand,2008,Kidnap - For Marriage,05. For Marriage,332,21,245,7,0,273,0,332,0,48,11,0,59,0
Karnataka,2008,Kidnap - For Marriage,05. For Marriage,131,32,88,1,0,121,0,124,0,3,0,0,3,0
Kerala,2008,Kidnap - For Marriage,05. For Marriage,87,48,37,1,0,86,0,87,0,1,0,0,1,0
Madhya Pradesh,2008,Kidnap - For Marriage,05. For Marriage,495,140,321,28,0,493,4,493,0,0,0,0,0,0
Maharashtra,2008,Kidnap - For Marriage,05. For Marriage,705,370,291,41,0,702,0,702,0,0,0,0,0,0
Manipur,2008,Kidnap - For Marriage,05. For Marriage,64,31,31,2,0,64,0,64,0,0,0,0,0,0
Meghalaya,2008,Kidnap - For Marriage,05. For Marriage,13,6,5,2,0,13,0,13,0,0,0,0,0,0
Mizoram,2008,Kidnap - For Marriage,05. For Marriage,1,0,1,0,0,1,0,1,0,0,0,0,0,0
Nagaland,2008,Kidnap - For Marriage,05. For Marriage,1,1,0,0,0,1,0,1,0,0,0,0,0,0
Odisha,2008,Kidnap - For Marriage,05. For Marriage,335,2,295,38,0,335,0,335,0,0,0,0,0,0
Puducherry,2008,Kidnap - For Marriage,05. For Marriage,8,8,0,0,0,8,0,8,0,0,0,0,0,0
Punjab,2008,Kidnap - For Marriage,05. For Marriage,384,143,236,5,0,390,6,391,0,0,1,0,1,0
Rajasthan,2008,Kidnap - For Marriage,05. For Marriage,1016,217,668,121,9,1017,2,1017,0,0,0,0,0,0
Sikkim,2008,Kidnap - For Marriage,05. For Marriage,2,2,0,0,0,2,0,2,0,0,0,0,0,0
Tamil Nadu,2008,Kidnap - For Marriage,05. For Marriage,887,198,660,30,0,889,1,890,1,0,0,0,1,0
Tripura,2008,Kidnap - For Marriage,05. For Marriage,89,15,73,1,0,89,0,89,0,0,0,0,0,0
Uttar Pradesh,2008,Kidnap - For Marriage,05. For Marriage,3106,1397,1444,265,0,3106,0,3106,0,0,0,0,0,0
Uttarakhand,2008,Kidnap - For Marriage,05. For Marriage,152,18,128,6,0,152,0,152,0,0,0,0,0,0
West Bengal,2008,Kidnap - For Marriage,05. For Marriage,835,26,780,0,0,806,0,835,0,29,0,0,29,0
Andhra Pradesh,2009,Kidnap - For Marriage,05. For Marriage,722,331,361,1,0,693,0,722,1,19,9,0,29,0
Arunachal Pradesh,2009,Kidnap - For Marriage,05. For Marriage,19,1,18,0,0,19,0,19,0,0,0,0,0,0
Assam,2009,Kidnap - For Marriage,05. For Marriage,1595,0,845,750,0,1595,0,1595,0,0,0,0,0,0
Bihar,2009,Kidnap - For Marriage,05. For Marriage,1863,406,1335,58,0,1799,0,1863,34,30,0,0,64,0
Chandigarh,2009,Kidnap - For Marriage,05. For Marriage,18,15,3,0,0,18,0,18,0,0,0,0,0,0
Chhattisgarh,2009,Kidnap - For Marriage,05. For Marriage,58,17,19,0,0,58,22,58,0,0,0,0,0,0
Dadra & Nagar Haveli,2009,Kidnap - For Marriage,05. For Marriage,9,7,2,0,0,9,0,9,0,0,0,0,0,0
Delhi,2009,Kidnap - For Marriage,05. For Marriage,221,173,42,4,0,219,0,223,0,2,2,0,4,0
Goa,2009,Kidnap - For Marriage,05. For Marriage,7,5,2,0,0,7,0,7,0,0,0,0,0,0
Gujarat,2009,Kidnap - For Marriage,05. For Marriage,772,299,397,51,0,751,4,782,0,18,13,0,31,0
Haryana,2009,Kidnap - For Marriage,05. For Marriage,513,105,354,25,28,513,1,513,0,0,0,0,0,0
Himachal Pradesh,2009,Kidnap - For Marriage,05. For Marriage,113,74,30,3,0,107,0,116,1,6,2,0,9,0
Jammu & Kashmir,2009,Kidnap - For Marriage,05. For Marriage,456,92,340,39,0,471,0,477,0,6,0,0,6,0
Jharkhand,2009,Kidnap - For Marriage,05. For Marriage,364,21,226,116,0,363,0,364,0,1,0,0,1,0
Karnataka,2009,Kidnap - For Marriage,05. For Marriage,109,5,99,1,0,108,3,112,0,3,1,0,4,0
Kerala,2009,Kidnap - For Marriage,05. For Marriage,106,53,53,1,0,107,0,107,0,0,0,0,0,0
Madhya Pradesh,2009,Kidnap - For Marriage,05. For Marriage,569,254,301,11,1,570,3,570,0,0,0,0,0,0
Maharashtra,2009,Kidnap - For Marriage,05. For Marriage,666,406,244,32,0,682,0,684,1,0,0,0,2,1
Manipur,2009,Kidnap - For Marriage,05. For Marriage,71,38,31,2,0,71,0,71,0,0,0,0,0,0
Meghalaya,2009,Kidnap - For Marriage,05. For Marriage,11,4,6,1,0,11,0,11,0,0,0,0,0,0
Mizoram,2009,Kidnap - For Marriage,05. For Marriage,1,0,1,0,0,1,0,1,0,0,0,0,0,0
Nagaland,2009,Kidnap - For Marriage,05. For Marriage,1,0,1,0,0,1,0,1,0,0,0,0,0,0
Odisha,2009,Kidnap - For Marriage,05. For Marriage,444,12,413,9,3,437,0,444,0,2,5,0,7,0
Puducherry,2009,Kidnap - For Marriage,05. For Marriage,9,8,1,0,0,9,0,9,0,0,0,0,0,0
Punjab,2009,Kidnap - For Marriage,05. For Marriage,437,283,144,12,0,447,8,447,0,0,0,0,0,0
Rajasthan,2009,Kidnap - For Marriage,05. For Marriage,1333,340,810,177,3,1336,6,1336,0,0,0,0,0,0
Sikkim,2009,Kidnap - For Marriage,05. For Marriage,2,2,0,0,0,2,0,2,0,0,0,0,0,0
Tamil Nadu,2009,Kidnap - For Marriage,05. For Marriage,846,190,587,51,0,828,0,854,0,22,4,0,26,0
Tripura,2009,Kidnap - For Marriage,05. For Marriage,92,14,71,7,0,92,0,92,0,0,0,0,0,0
Uttar Pradesh,2009,Kidnap - For Marriage,05. For Marriage,3711,864,2410,437,0,3711,0,3711,0,0,0,0,0,0
Uttarakhand,2009,Kidnap - For Marriage,05. For Marriage,160,8,152,0,0,160,0,160,0,0,0,0,0,0
West Bengal,2009,Kidnap - For Marriage,05. For Marriage,927,64,815,47,0,927,1,927,0,0,0,0,0,0
Andaman & Nicobar Islands,2010,Kidnap - For Marriage,05. For Marriage,2,2,0,0,0,2,0,2,0,0,0,0,0,0
Andhra Pradesh,2010,Kidnap - For Marriage,05. For Marriage,945,325,489,114,0,929,1,945,4,12,0,0,16,0
Arunachal Pradesh,2010,Kidnap - For Marriage,05. For Marriage,40,0,33,7,0,40,0,40,0,0,0,0,0,0
Assam,2010,Kidnap - For Marriage,05. For Marriage,2114,0,1689,425,0,2114,0,2114,0,0,0,0,0,0
Bihar,2010,Kidnap - For Marriage,05. For Marriage,2523,1152,1176,66,0,2394,0,2526,5,123,4,0,132,0
Chandigarh,2010,Kidnap - For Marriage,05. For Marriage,27,19,8,0,0,27,0,27,0,0,0,0,0,0
Chhattisgarh,2010,Kidnap - For Marriage,05. For Marriage,175,101,69,5,0,175,0,175,0,0,0,0,0,0
Dadra & Nagar Haveli,2010,Kidnap - For Marriage,05. For Marriage,10,9,1,0,0,10,0,10,0,0,0,0,0,0
Delhi,2010,Kidnap - For Marriage,05. For Marriage,175,153,21,0,0,176,2,177,1,0,0,0,1,0
Goa,2010,Kidnap - For Marriage,05. For Marriage,4,3,1,0,0,4,0,4,0,0,0,0,0,0
Gujarat,2010,Kidnap - For Marriage,05. For Marriage,893,349,473,33,6,861,0,894,0,19,14,0,33,0
Haryana,2010,Kidnap - For Marriage,05. For Marriage,485,45,400,42,0,487,0,489,0,2,0,0,2,0
Himachal Pradesh,2010,Kidnap - For Marriage,05. For Marriage,147,59,76,15,0,150,0,152,0,2,0,0,2,0
Jammu & Kashmir,2010,Kidnap - For Marriage,05. For Marriage,528,2,438,86,1,527,0,528,0,0,1,0,1,0
Jharkhand,2010,Kidnap - For Marriage,05. For Marriage,462,5,419,31,0,455,0,462,3,2,2,0,7,0
Karnataka,2010,Kidnap - For Marriage,05. For Marriage,155,59,81,2,0,142,0,155,0,13,0,0,13,0
Kerala,2010,Kidnap - For Marriage,05. For Marriage,114,66,47,0,0,113,0,114,0,1,0,0,1,0
Madhya Pradesh,2010,Kidnap - For Marriage,05. For Marriage,673,270,389,15,0,676,2,676,0,0,0,0,0,0
Maharashtra,2010,Kidnap - For Marriage,05. For Marriage,800,501,260,35,0,797,1,806,1,6,2,0,9,0
Manipur,2010,Kidnap - For Marriage,05. For Marriage,64,36,28,1,0,65,0,65,0,0,0,0,0,0
Meghalaya,2010,Kidnap - For Marriage,05. For Marriage,4,4,0,0,0,4,0,4,0,0,0,0,0,0
Mizoram,2010,Kidnap - For Marriage,05. For Marriage,1,0,1,0,0,1,0,1,0,0,0,0,0,0
Nagaland,2010,Kidnap - For Marriage,05. For Marriage,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Odisha,2010,Kidnap - For Marriage,05. For Marriage,417,27,373,9,0,409,0,417,0,4,4,0,8,0
Puducherry,2010,Kidnap - For Marriage,05. For Marriage,10,4,5,0,0,9,0,10,0,1,0,0,1,0
Punjab,2010,Kidnap - For Marriage,05. For Marriage,510,309,206,0,0,515,0,515,0,0,0,0,0,0
Rajasthan,2010,Kidnap - For Marriage,05. For Marriage,1539,405,916,210,4,1538,3,1540,0,2,0,0,2,0
Sikkim,2010,Kidnap - For Marriage,05. For Marriage,4,4,0,0,0,4,0,4,0,0,0,0,0,0
Tamil Nadu,2010,Kidnap - For Marriage,05. For Marriage,1123,359,701,64,0,1124,0,1124,0,0,0,0,0,0
Tripura,2010,Kidnap - For Marriage,05. For Marriage,74,13,48,13,0,74,0,74,0,0,0,0,0,0
Uttar Pradesh,2010,Kidnap - For Marriage,05. For Marriage,3766,675,2629,460,0,3766,2,3766,0,0,0,0,0,0
Uttarakhand,2010,Kidnap - For Marriage,05. For Marriage,161,1,158,2,0,161,0,161,0,0,0,0,0,0
West Bengal,2010,Kidnap - For Marriage,05. For Marriage,377,211,156,10,0,377,0,377,0,0,0,0,0,0
Andhra Pradesh,2001,Kidnap - For Prostitution,06. For Prostitution,36,18,16,2,0,36,0,36,0,0,0,0,0,0
Arunachal Pradesh,2001,Kidnap - For Prostitution,06. For Prostitution,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,2001,Kidnap - For Prostitution,06. For Prostitution,7,2,5,0,0,7,0,7,0,0,0,0,0,0
Bihar,2001,Kidnap - For Prostitution,06. For Prostitution,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chandigarh,2001,Kidnap - For Prostitution,06. For Prostitution,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chhattisgarh,2001,Kidnap - For Prostitution,06. For Prostitution,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gujarat,2001,Kidnap - For Prostitution,06. For Prostitution,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haryana,2001,Kidnap - For Prostitution,06. For Prostitution,3,0,0,0,0,0,0,3,0,0,2,0,3,1
Himachal Pradesh,2001,Kidnap - For Prostitution,06. For Prostitution,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jharkhand,2001,Kidnap - For Prostitution,06. For Prostitution,3,1,2,0,0,3,0,3,0,0,0,0,0,0
Karnataka,2001,Kidnap - For Prostitution,06. For Prostitution,3,3,1,0,0,4,0,4,0,0,0,0,0,0
Madhya Pradesh,2001,Kidnap - For Prostitution,06. For Prostitution,3,3,2,0,0,5,0,5,0,0,0,0,0,0
Maharashtra,2001,Kidnap - For Prostitution,06. For Prostitution,12,8,5,0,0,14,1,15,0,0,1,0,1,0
Meghalaya,2001,Kidnap - For Prostitution,06. For Prostitution,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mizoram,2001,Kidnap - For Prostitution,06. For Prostitution,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nagaland,2001,Kidnap - For Prostitution,06. For Prostitution,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Odisha,2001,Kidnap - For Prostitution,06. For Prostitution,15,10,0,0,0,10,0,15,0,1,4,0,5,0
Rajasthan,2001,Kidnap - For Prostitution,06. For Prostitution,10,1,9,0,0,10,0,10,0,0,0,0,0,0
Tamil Nadu,2001,Kidnap - For Prostitution,06. For Prostitution,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uttar Pradesh,2001,Kidnap - For Prostitution,06. For Prostitution,11,4,7,0,0,11,0,11,0,0,0,0,0,0
West Bengal,2001,Kidnap - For Prostitution,06. For Prostitution,19,9,11,0,0,20,0,20,0,0,0,0,0,0
Andhra Pradesh,2002,Kidnap - For Prostitution,06. For Prostitution,61,7,49,5,0,61,0,61,0,0,0,0,0,0
Assam,2002,Kidnap - For Prostitution,06. For Prostitution,12,0,12,0,0,12,0,12,0,0,0,0,0,0
Bihar,2002,Kidnap - For Prostitution,06. For Prostitution,1,1,0,0,0,1,0,1,0,0,0,0,0,0
Chhattisgarh,2002,Kidnap - For Prostitution,06. For Prostitution,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daman & Diu,2002,Kidnap - For Prostitution,06. For Prostitution,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Delhi,2002,Kidnap - For Prostitution,06. For Prostitution,1,0,0,1,0,1,0,1,0,0,0,0,0,0
Gujarat,2002,Kidnap - For Prostitution,06. For Prostitution,25,6,19,0,0,25,0,25,0,0,0,0,0,0
Haryana,2002,Kidnap - For Prostitution,06. For Prostitution,1,1,0,0,0,1,0,1,0,0,0,0,0,0
Himachal Pradesh,2002,Kidnap - For Prostitution,06. For Prostitution,1,0,1,0,0,1,0,1,0,0,0,0,0,0
Jammu & Kashmir,2002,Kidnap - For Prostitution,06. For Prostitution,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jharkhand,2002,Kidnap - For Prostitution,06. For Prostitution,4,2,2,0,0,4,0,4,0,0,0,0,0,0
Karnataka,2002,Kidnap - For Prostitution,06. For Prostitution,1,0,2,0,0,2,0,2,0,0,0,0,0,0
Madhya Pradesh,2002,Kidnap - For Prostitution,06. For Prostitution,7,0,0,0,0,0,0,7,1,2,4,0,7,0
Maharashtra,2002,Kidnap - For Prostitution,06. For Prostitution,16,16,11,0,0,28,1,28,0,0,0,0,0,0
Meghalaya,2002,Kidnap - For Prostitution,06. For Prostitution,1,1,0,0,0,1,0,1,0,0,0,0,0,0
Nagaland,2002,Kidnap - For Prostitution,06. For Prostitution,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Odisha,2002,Kidnap - For Prostitution,06. For Prostitution,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Punjab,2002,Kidnap - For Prostitution,06. For Prostitution,3,3,0,0,0,3,0,3,0,0,0,0,0,0
Tamil Nadu,2002,Kidnap - For Prostitution,06. For Prostitution,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tripura,2002,Kidnap - For Prostitution,06. For Prostitution,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uttar Pradesh,2002,Kidnap - For Prostitution,06. For Prostitution,35,16,12,2,0,30,0,35,4,1,0,0,5,0
West Bengal,2002,Kidnap - For Prostitution,06. For Prostitution,18,18,4,0,0,22,0,22,0,0,0,0,0,0
Andhra Pradesh,2003,Kidnap - For Prostitution,06. For Prostitution,43,8,28,0,0,36,0,36,0,0,0,0,0,0
Arunachal Pradesh,2003,Kidnap - For Prostitution,06. For Prostitution,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,2003,Kidnap - For Prostitution,06. For Prostitution,51,0,29,22,0,51,0,51,0,0,0,0,0,0
Bihar,2003,Kidnap - For Prostitution,06. For Prostitution,1,0,1,0,0,1,0,1,0,0,0,0,0,0
Chandigarh,2003,Kidnap - For Prostitution,06. For Prostitution,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chhattisgarh,2003,Kidnap - For Prostitution,06. For Prostitution,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daman & Diu,2003,Kidnap - For Prostitution,06. For Prostitution,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Delhi,2003,Kidnap - For Prostitution,06. For Prostitution,1,1,0,0,0,1,0,1,0,0,0,0,0,0
Gujarat,2003,Kidnap - For Prostitution,06. For Prostitution,1,1,0,0,0,2,1,2,0,0,0,0,0,0
Haryana,2003,Kidnap - For Prostitution,06. For Prostitution,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,2003,Kidnap - For Prostitution,06. For Prostitution,1,0,0,1,0,1,0,1,0,0,0,0,0,0
Jammu & Kashmir,2003,Kidnap - For Prostitution,06. For Prostitution,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jharkhand,2003,Kidnap - For Prostitution,06. For Prostitution,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Karnataka,2003,Kidnap - For Prostitution,06. For Prostitution,2,1,1,0,0,2,0,2,0,0,0,0,0,0
Madhya Pradesh,2003,Kidnap - For Prostitution,06. For Prostitution,16,0,16,0,0,16,0,16,0,0,0,0,0,0
Maharashtra,2003,Kidnap - For Prostitution,06. For Prostitution,14,17,8,2,0,27,0,27,0,0,0,0,0,0
Meghalaya,2003,Kidnap - For Prostitution,06. For Prostitution,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nagaland,2003,Kidnap - For Prostitution,06. For Prostitution,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Odisha,2003,Kidnap - For Prostitution,06. For Prostitution,1,0,0,1,0,1,0,1,0,0,0,0,0,0
Punjab,2003,Kidnap - For Prostitution,06. For Prostitution,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tamil Nadu,2003,Kidnap - For Prostitution,06. For Prostitution,1,0,1,0,0,1,0,1,0,0,0,0,0,0
Uttar Pradesh,2003,Kidnap - For Prostitution,06. For Prostitution,18,6,11,1,0,18,0,18,0,0,0,0,0,0
Uttarakhand,2003,Kidnap - For Prostitution,06. For Prostitution,1,0,1,0,0,1,0,1,0,0,0,0,0,0
West Bengal,2003,Kidnap - For Prostitution,06. For Prostitution,21,23,0,0,0,23,0,23,0,0,0,0,0,0
Andhra Pradesh,2004,Kidnap - For Prostitution,06. For Prostitution,30,5,25,0,0,30,0,30,0,0,0,0,0,0
Arunachal Pradesh,2004,Kidnap - For Prostitution,06. For Prostitution,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,2004,Kidnap - For Prostitution,06. For Prostitution,40,0,27,13,0,40,0,40,0,0,0,0,0,0
Bihar,2004,Kidnap - For Prostitution,06. For Prostitution,2,0,2,0,0,2,0,2,0,0,0,0,0,0
Chhattisgarh,2004,Kidnap - For Prostitution,06. For Prostitution,41,38,0,0,0,38,0,41,0,0,2,1,3,0
Delhi,2004,Kidnap - For Prostitution,06. For Prostitution,12,6,6,0,0,12,0,12,0,0,0,0,0,0
Gujarat,2004,Kidnap - For Prostitution,06. For Prostitution,1,0,0,0,0,1,1,1,0,0,0,0,0,0
Himachal Pradesh,2004,Kidnap - For Prostitution,06. For Prostitution,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,2004,Kidnap - For Prostitution,06. For Prostitution,5,0,5,0,0,5,0,5,0,0,0,0,0,0
Karnataka,2004,Kidnap - For Prostitution,06. For Prostitution,3,1,1,0,0,3,1,3,0,0,0,0,0,0
Madhya Pradesh,2004,Kidnap - For Prostitution,06. For Prostitution,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maharashtra,2004,Kidnap - For Prostitution,06. For Prostitution,36,26,42,1,0,69,0,69,0,0,0,0,0,0
Manipur,2004,Kidnap - For Prostitution,06. For Prostitution,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meghalaya,2004,Kidnap - For Prostitution,06. For Prostitution,2,1,1,0,0,2,0,2,0,0,0,0,0,0
Mizoram,2004,Kidnap - For Prostitution,06. For Prostitution,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nagaland,2004,Kidnap - For Prostitution,06. For Prostitution,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Odisha,2004,Kidnap - For Prostitution,06. For Prostitution,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Punjab,2004,Kidnap - For Prostitution,06. For Prostitution,1,0,0,0,0,0,0,1,0,0,0,0,1,1
Rajasthan,2004,Kidnap - For Prostitution,06. For Prostitution,1,0,1,0,0,1,0,1,0,0,0,0,0,0
Sikkim,2004,Kidnap - For Prostitution,06. For Prostitution,1,0,0,0,0,0,0,1,0,1,0,0,1,0
Tamil Nadu,2004,Kidnap - For Prostitution,06. For Prostitution,2,0,3,0,0,3,0,3,0,0,0,0,0,0
Tripura,2004,Kidnap - For Prostitution,06. For Prostitution,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uttar Pradesh,2004,Kidnap - For Prostitution,06. For Prostitution,28,5,21,2,0,28,0,28,0,0,0,0,0,0
West Bengal,2004,Kidnap - For Prostitution,06. For Prostitution,17,16,5,0,0,21,0,21,0,0,0,0,0,0
Andhra Pradesh,2005,Kidnap - For Prostitution,06. For Prostitution,14,3,9,2,0,14,0,14,0,0,0,0,0,0
Arunachal Pradesh,2005,Kidnap - For Prostitution,06. For Prostitution,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,2005,Kidnap - For Prostitution,06. For Prostitution,28,0,21,7,0,28,0,28,0,0,0,0,0,0
Bihar,2005,Kidnap - For Prostitution,06. For Prostitution,2,0,2,0,0,2,0,2,0,0,0,0,0,0
Chandigarh,2005,Kidnap - For Prostitution,06. For Prostitution,1,1,0,0,0,1,0,1,0,0,0,0,0,0
Chhattisgarh,2005,Kidnap - For Prostitution,06. For Prostitution,13,13,0,0,0,13,0,13,0,0,0,0,0,0
Delhi,2005,Kidnap - For Prostitution,06. For Prostitution,5,3,2,0,0,5,0,5,0,0,0,0,0,0
Gujarat,2005,Kidnap - For Prostitution,06. For Prostitution,1,0,1,0,0,1,0,1,0,0,0,0,0,0
Haryana,2005,Kidnap - For Prostitution,06. For Prostitution,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,2005,Kidnap - For Prostitution,06. For Prostitution,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,2005,Kidnap - For Prostitution,06. For Prostitution,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jharkhand,2005,Kidnap - For Prostitution,06. For Prostitution,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Karnataka,2005,Kidnap - For Prostitution,06. For Prostitution,3,1,2,0,0,3,0,3,0,0,0,0,0,0
Kerala,2005,Kidnap - For Prostitution,06. For Prostitution,1,0,0,1,0,1,0,1,0,0,0,0,0,0
Madhya Pradesh,2005,Kidnap - For Prostitution,06. For Prostitution,1,1,0,0,0,1,0,1,0,0,0,0,0,0
Maharashtra,2005,Kidnap - For Prostitution,06. For Prostitution,53,91,75,0,0,166,0,166,0,0,0,0,0,0
Manipur,2005,Kidnap - For Prostitution,06. For Prostitution,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meghalaya,2005,Kidnap - For Prostitution,06. For Prostitution,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mizoram,2005,Kidnap - For Prostitution,06. For Prostitution,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nagaland,2005,Kidnap - For Prostitution,06. For Prostitution,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Odisha,2005,Kidnap - For Prostitution,06. For Prostitution,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Punjab,2005,Kidnap - For Prostitution,06. For Prostitution,2,2,0,0,0,2,0,2,0,0,0,0,0,0
Tripura,2005,Kidnap - For Prostitution,06. For Prostitution,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uttar Pradesh,2005,Kidnap - For Prostitution,06. For Prostitution,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West Bengal,2005,Kidnap - For Prostitution,06. For Prostitution,12,2,10,0,0,12,0,12,0,0,0,0,0,0
Andhra Pradesh,2006,Kidnap - For Prostitution,06. For Prostitution,53,8,23,0,0,31,0,53,0,22,0,0,22,0
Arunachal Pradesh,2006,Kidnap - For Prostitution,06. For Prostitution,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,2006,Kidnap - For Prostitution,06. For Prostitution,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bihar,2006,Kidnap - For Prostitution,06. For Prostitution,3,0,3,0,0,3,0,3,0,0,0,0,0,0
Chhattisgarh,2006,Kidnap - For Prostitution,06. For Prostitution,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Goa,2006,Kidnap - For Prostitution,06. For Prostitution,1,1,1,0,0,2,0,2,0,0,0,0,0,0
Gujarat,2006,Kidnap - For Prostitution,06. For Prostitution,4,0,1,0,0,1,0,4,0,2,1,0,3,0
Himachal Pradesh,2006,Kidnap - For Prostitution,06. For Prostitution,2,2,0,0,0,2,0,2,0,0,0,0,0,0
Jammu & Kashmir,2006,Kidnap - For Prostitution,06. For Prostitution,1,0,7,9,0,16,0,16,0,0,0,0,0,0
Jharkhand,2006,Kidnap - For Prostitution,06. For Prostitution,3,0,1,0,0,1,0,8,0,7,0,0,7,0
Karnataka,2006,Kidnap - For Prostitution,06. For Prostitution,3,1,2,0,0,3,0,6,0,2,1,0,3,0
Kerala,2006,Kidnap - For Prostitution,06. For Prostitution,1,0,1,0,0,1,0,1,0,0,0,0,0,0
Madhya Pradesh,2006,Kidnap - For Prostitution,06. For Prostitution,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maharashtra,2006,Kidnap - For Prostitution,06. For Prostitution,57,122,67,5,0,194,0,194,0,0,0,0,0,0
Manipur,2006,Kidnap - For Prostitution,06. For Prostitution,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meghalaya,2006,Kidnap - For Prostitution,06. For Prostitution,1,1,0,0,0,1,0,1,0,0,0,0,0,0
Mizoram,2006,Kidnap - For Prostitution,06. For Prostitution,0,0,0,0,0,0,0,0,0,0,0,0,0,0
